frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
122,24.0,[1.9754035798806058 224.34054218995465 735.9101223036882 685.6938591234928],[283.7123718261719 548.9830932617188 492.1634216308594 596.2371826171875],0.8863698840141296,SCIDII,0.11278388975855282
123,24.0,[3.105962933554622 230.83533456610417 722.8298228558285 683.4648565046351],[279.86199951171875 548.4487915039062 483.4686279296875 596.0991821289062],0.8822356462478638,LSZU1L,0.11608644858834544
124,24.0,[6.441256119355273 240.88016005399166 714.1141373316705 684.1646022026476],[283.12591552734375 550.2080078125 478.9331359863281 596.4423217773438],0.8752459287643433,LNXUKLL,0.3334601518161589
125,24.0,[10.04771976264459 251.81338165289668 707.2575798814216 685.0134876851639],[281.5053405761719 556.3863525390625 477.3231201171875 598.7892456054688],0.8547748327255249,LNUHL,0.37855942915277346
126,24.0,[27.274611370992545 266.10950162222366 712.2401923985776 689.3795586857788],[285.20477294921875 560.7411499023438 477.3475036621094 604.80517578125],0.8365068435668945,LSS&H,0.029894831093958393
127,24.0,[34.51838257444507 281.0844567259167 706.074471380811 696.2214746209718],[283.7109375 570.5009765625 473.9906005859375 613.0086669921875],0.8503689169883728,L5S6,0.16079606115818024
128,24.0,[35.617437455999436 296.04038330853723 698.9624028585711 703.1339313575419],[287.7239685058594 580.2976684570312 472.2899169921875 624.24462890625],0.8495601415634155,65JUL,0.18198254049786888
129,24.0,[48.81407606989785 308.77946496228475 702.7710472095731 706.121974888563],[284.3477478027344 589.63427734375 469.6410217285156 636.5364990234375],0.8730099201202393,(35A,0.06520577520132065
130,24.0,[56.203797500478345 321.4243801263453 703.673575219899 707.2036389676207],[284.1011962890625 602.4193115234375 467.0784606933594 646.8016357421875],0.8517720699310303,(5B5A,0.1404644229533287
131,24.0,[58.81383654316335 333.07055992108087 701.6268909123374 709.4281325678822],[275.8626708984375 615.2344360351562 465.0380859375 657.2691040039062],0.86784428358078,LO,0.135095391576446
132,24.0,[57.88711265041195 346.79147279517133 694.0952799203136 714.9460241183506],[275.7513122558594 626.4151611328125 461.1375732421875 668.4453735351562],0.8527802228927612,LE53F,0.037546829330516715
133,24.0,[57.42585033469169 356.84333514682123 691.5718337476092 717.1939226918922],[275.9242248535156 633.0563354492188 459.96685791015625 678.33837890625],0.8567878603935242,L585&2L,0.058274849933167484
134,24.0,[54.88272529262616 362.8250201458328 691.7907253324561 717.3284440799788],[275.5504150390625 640.3447265625 465.1001892089844 682.8566284179688],0.8464975357055664,LU5BX,0.032466070410359066
135,24.0,[61.25473850439232 367.25803434920556 698.3844182598125 716.8633034964613],[283.2552795410156 645.8247680664062 466.6676940917969 687.4447021484375],0.8542537689208984,CUS&XH,0.2921098837814209
136,24.0,[65.8583448573051 370.642329747064 704.6817957381102 716.3250483836557],[285.0010986328125 646.219482421875 470.3121337890625 690.6444091796875],0.8599059581756592,LESEXH,0.07939103259430663
137,24.0,[64.48190187178346 370.6392737834582 712.5293883229479 715.1175682052357],[288.5809020996094 645.2098999023438 474.2422790527344 687.102783203125],0.848699152469635,L8SGXH,0.16213006313581865
138,24.0,[61.80638708901637 368.1952542142535 721.4146303478501 713.7099197831706],[289.58001708984375 640.076171875 478.64068603515625 681.948486328125],0.8448507785797119,L8S6YH,0.1327937182154796
139,24.0,[70.86569745662769 363.9278375526335 738.476829241891 711.8940105926208],[296.1640930175781 630.883056640625 483.1939697265625 676.4952392578125],0.8539521098136902,L656XH,0.6425068454297007
140,24.0,[75.64163261697428 355.96242539221794 751.7436446955141 709.0751286959069],[295.0143737792969 624.1731567382812 489.2757263183594 668.464111328125],0.8634514808654785,C656XH,0.18603777610104036
141,24.0,[80.50163249471751 347.6942522673631 766.7805432953501 707.1905426364733],[299.40374755859375 617.6857299804688 493.17822265625 664.605224609375],0.8806847929954529,LOS6XH,0.35533170489874666
142,24.0,[77.985350226236 341.3073016940044 775.6136914251815 707.1042449409471],[300.7305908203125 612.8416137695312 500.44989013671875 661.9712524414062],0.84360271692276,COSOYH,0.2426014137490174
143,24.0,[81.77556915630436 333.9449987063747 791.2508110638225 707.1474777435601],[302.4858093261719 612.2021484375 507.772705078125 658.7306518554688],0.8467979431152344,C6S6XH,0.2476705269756885
144,24.0,[82.58145619336801 326.3559301926291 805.4341553688615 706.6856369298955],[312.1749572753906 607.4779052734375 518.428466796875 654.2922973632812],0.8747116327285767,L6S6XH,0.6032163174222017
